,type,theme,year,account_number,total_emissions
0,cid,combined,2018,58671,
1,cid,combined,2018,59167,
2,cid,combined,2018,50553,
3,cid,combined,2018,826407,
4,cid,combined,2018,60375,
5,cid,combined,2018,54337,3561386
6,cid,combined,2018,55331,
7,cid,combined,2018,74414,2321769
8,cid,combined,2018,831618,
9,cid,combined,2018,60603,
10,cid,combined,2018,10495,
11,cid,combined,2018,831811,
12,cid,combined,2018,54114,
13,cid,combined,2018,50383,
14,cid,combined,2018,57509,1134407.8
15,cid,combined,2018,50396,
16,cid,combined,2018,69985,
17,cid,combined,2018,50665,
18,cid,combined,2018,60268,
19,cid,combined,2018,59535,
20,cid,combined,2018,35449,1095811
21,cid,combined,2018,59572,
22,cid,combined,2018,54354,
23,cid,combined,2018,54517,
24,cid,combined,2018,37261,
25,cid,combined,2018,31185,
26,cid,combined,2018,61427,
27,cid,combined,2018,53959,
28,cid,combined,2018,35274,
29,cid,combined,2018,60340,
30,cid,combined,2018,70261,
31,cid,combined,2018,831617,
32,cid,combined,2018,58543,
33,cid,combined,2018,58795,
34,cid,combined,2018,43907,
35,cid,combined,2018,54277,
36,cid,combined,2018,31154,
37,cid,combined,2018,35858,9701575
38,cid,combined,2018,50550,
39,cid,combined,2018,74440,
40,cid,combined,2018,831962,
41,cid,combined,2018,49334,1367962
42,cid,combined,2018,62814,
43,cid,combined,2018,43917,2785108
44,cid,combined,2018,36154,
45,cid,combined,2018,50378,939862.57
46,cid,combined,2018,50385,
47,cid,combined,2018,50558,2780300
48,cid,combined,2018,31009,
49,cid,combined,2018,60599,
50,cid,combined,2018,74495,
51,cid,combined,2018,50679,
52,cid,combined,2018,54444,
53,cid,combined,2018,31153,
54,cid,combined,2018,54108,
55,cid,combined,2018,50551,4148034
56,cid,combined,2018,52638,737282
57,cid,combined,2018,35880,2351195
58,cid,combined,2018,20113,2536992
59,cid,combined,2018,31055,
60,cid,combined,2018,60223,
61,cid,combined,2018,51374,
62,cid,combined,2018,55371,
63,cid,combined,2018,69834,365148.77
64,cid,combined,2018,60229,
65,cid,combined,2018,60407,
66,cid,combined,2018,54113,
67,cid,combined,2018,73293,
68,cid,combined,2018,826431,
69,cid,combined,2018,74423,
70,cid,combined,2018,54084,1005266
71,cid,combined,2018,54559,
72,cid,combined,2018,58461,
73,cid,combined,2018,36261,
74,cid,combined,2018,54291,
75,cid,combined,2018,50386,
76,cid,combined,2018,50544,
77,cid,combined,2018,31163,
78,cid,combined,2018,50364,
79,cid,combined,2018,55801,383625
80,cid,combined,2018,49787,93726.37
81,cid,combined,2018,50559,903407
82,cid,combined,2018,55799,1067210
83,cid,combined,2018,59536,
84,cid,combined,2018,54687,
85,cid,combined,2018,55418,
86,cid,combined,2018,50571,
87,cid,combined,2018,42123,
88,cid,combined,2018,55616,
89,cid,combined,2018,35877,
90,cid,combined,2018,36004,
91,cid,combined,2018,50391,
92,cid,combined,2018,73295,
93,cid,combined,2018,35393,2882605
94,cid,combined,2018,60206,
95,cid,combined,2018,31051,
96,cid,combined,2018,73301,
97,cid,combined,2018,35907,
98,cid,combined,2018,50220,1871017
99,cid,combined,2018,54608,827.954
100,cid,combined,2018,36036,
101,cid,combined,2018,50543,
102,cid,combined,2018,55372,
103,cid,combined,2018,74573,
104,cid,combined,2018,31148,
105,cid,combined,2018,68383,
106,cid,combined,2018,55800,
107,cid,combined,2018,59631,548456.82
108,cid,combined,2018,49367,
109,cid,combined,2018,31110,8407712
110,cid,combined,2018,54678,
111,cid,combined,2018,54430,
112,cid,combined,2018,60679,
113,cid,combined,2018,59156,
114,cid,combined,2018,35863,12088612
115,cid,combined,2018,36274,
116,cid,combined,2018,52894,
117,cid,combined,2018,54402,
118,cid,combined,2018,31109,955783
119,cid,combined,2018,50578,2593309
120,cid,combined,2018,35857,4346533
121,cid,combined,2018,31172,21327895.49
122,cid,combined,2018,54697,
123,cid,combined,2018,31176,17326232
124,cid,combined,2018,54682,
125,cid,combined,2018,50579,
126,cid,combined,2018,54498,
127,cid,combined,2018,3417,35850141
128,cid,combined,2018,50394,2309846
129,cid,combined,2018,43934,
130,cid,combined,2018,74504,
131,cid,combined,2018,43938,
132,cid,combined,2018,50565,
133,cid,combined,2018,60318,17164389.21
134,cid,combined,2018,58424,
135,cid,combined,2018,54615,
136,cid,combined,2018,58489,142768
137,cid,combined,2018,54510,
138,cid,combined,2018,60413,
139,cid,combined,2018,50357,39246500
140,cid,combined,2018,54405,
141,cid,combined,2018,59124,
142,cid,combined,2018,831823,
143,cid,combined,2018,50562,884432.84
144,cid,combined,2018,31446,3649758
145,cid,combined,2018,60127,
146,cid,combined,2018,60233,
147,cid,combined,2018,36041,
148,cid,combined,2018,14088,
149,cid,combined,2018,63615,
150,cid,combined,2018,54579,
151,cid,combined,2018,50370,
152,cid,combined,2018,54488,
153,cid,combined,2018,60399,
154,cid,combined,2018,54692,
155,cid,combined,2018,831812,
156,cid,combined,2018,58482,2149211
157,cid,combined,2018,31113,11063902
158,cid,combined,2018,60274,
159,cid,combined,2018,54253,
160,cid,combined,2018,54443,
161,cid,combined,2018,826396,
162,cid,combined,2018,50395,
163,cid,combined,2018,35872,1613939.94
164,cid,combined,2018,58597,
165,cid,combined,2018,35903,
166,cid,combined,2018,54521,380799
167,cid,combined,2018,31167,25640207
168,cid,combined,2018,50354,5034285.67
169,cid,combined,2018,60278,
170,cid,combined,2018,826210,
171,cid,combined,2018,13067,
172,cid,combined,2018,68388,
173,cid,combined,2018,50375,
174,cid,combined,2018,60416,
175,cid,combined,2018,74560,
176,cid,combined,2018,826237,
177,cid,combined,2018,53921,1285662.84
178,cid,combined,2018,3203,16784486
179,cid,combined,2018,68385,
180,cid,combined,2018,54606,
181,cid,combined,2018,61790,131281
182,cid,combined,2018,36279,
183,cid,combined,2018,826423,
184,cid,combined,2018,55325,
185,cid,combined,2018,50674,
186,cid,combined,2018,36426,
187,cid,combined,2018,16581,3318000
188,cid,combined,2018,50374,
189,cid,combined,2018,59537,
190,cid,combined,2018,58668,328329
191,cid,combined,2018,43969,
192,cid,combined,2018,2430,
193,cid,combined,2018,60108,
194,cid,combined,2018,36410,9372709
195,cid,combined,2018,36489,
196,cid,combined,2018,50560,2032515
197,cid,combined,2018,74531,1307967
198,cid,combined,2018,73706,300517
199,cid,combined,2018,36002,
200,cid,combined,2018,54104,771673
201,cid,combined,2018,60588,
202,cid,combined,2018,54651,
203,cid,combined,2018,43910,5340340
204,cid,combined,2018,54060,
205,cid,combined,2018,54110,862781
206,cid,combined,2018,31177,
207,cid,combined,2018,54298,
208,cid,combined,2018,31090,2952904.19
209,cid,combined,2018,60371,
210,cid,combined,2018,54388,19330000
211,cid,combined,2018,35865,4037064.53
212,cid,combined,2018,54100,900655
213,cid,combined,2018,60254,
214,cid,combined,2018,59987,
215,cid,combined,2018,36252,
216,cid,combined,2018,31108,19263921
217,cid,combined,2018,63562,
218,cid,combined,2018,35905,10970640
219,cid,combined,2018,35859,8929029
220,cid,combined,2018,54119,
221,cid,combined,2018,74443,
222,cid,combined,2018,42388,
223,cid,combined,2018,58865,
224,cid,combined,2018,49360,
225,cid,combined,2018,62855,158269
226,cid,combined,2018,36263,
227,cid,combined,2018,55334,
228,cid,combined,2018,73229,
229,cid,combined,2018,46470,
230,cid,combined,2018,31158,
231,cid,combined,2018,63919,
232,cid,combined,2018,54102,
233,cid,combined,2018,54409,903000
234,cid,combined,2018,43940,673433
235,cid,combined,2018,43975,
236,cid,combined,2018,50387,
237,cid,combined,2018,44185,3529808.292
238,cid,combined,2018,54293,
239,cid,combined,2018,31182,4013141
240,cid,combined,2018,60272,
241,cid,combined,2018,42178,5081963
242,cid,combined,2018,50380,
243,cid,combined,2018,43909,
244,cid,combined,2018,54504,
245,cid,combined,2018,69848,
246,cid,combined,2018,31157,
247,cid,combined,2018,31156,3240379
248,cid,combined,2018,59168,
249,cid,combined,2018,58357,
250,cid,combined,2018,31186,4652219
251,cid,combined,2018,54329,
252,cid,combined,2018,50211,
253,cid,combined,2018,50566,2305156
254,cid,combined,2018,60320,
255,cid,combined,2018,54082,
256,cid,combined,2018,826446,
257,cid,combined,2018,69850,
258,cid,combined,2018,50671,
259,cid,combined,2018,36469,
260,cid,combined,2018,35885,
261,cid,combined,2018,59151,
262,cid,combined,2018,826208,
263,cid,combined,2018,43970,
264,cid,combined,2018,60126,
265,cid,combined,2018,49335,6680198
266,cid,combined,2018,50541,
267,cid,combined,2018,59166,
268,cid,combined,2018,58797,74378.679
269,cid,combined,2018,69967,
270,cid,combined,2018,58594,
271,cid,combined,2018,31170,
272,cid,combined,2018,36223,
273,cid,combined,2018,54593,
274,cid,combined,2018,831834,
275,cid,combined,2018,36286,
276,cid,combined,2018,60346,
277,cid,combined,2018,63542,
278,cid,combined,2018,35864,
279,cid,combined,2018,54109,385100
280,cid,combined,2018,36504,
281,cid,combined,2018,826243,
282,cid,combined,2018,60287,
283,cid,combined,2018,70005,
284,cid,combined,2018,60391,
285,cid,combined,2018,50392,
286,cid,combined,2018,54459,249924
287,cid,combined,2018,58310,
288,cid,combined,2018,54683,
289,cid,combined,2018,55419,
290,cid,combined,2018,35879,2522163
291,cid,combined,2018,54078,915946
292,cid,combined,2018,54026,962074
293,cid,combined,2018,58796,
294,cid,combined,2018,60349,
295,cid,combined,2018,58513,
296,cid,combined,2018,50782,
297,cid,combined,2018,36043,
298,cid,combined,2018,54649,
299,cid,combined,2018,826209,
300,cid,combined,2018,60142,
301,cid,combined,2018,54623,
302,cid,combined,2018,31180,
303,cid,combined,2018,50371,3762197
304,cid,combined,2018,36484,
305,cid,combined,2018,36045,
306,cid,combined,2018,54497,2048867
307,cid,combined,2018,50681,
308,cid,combined,2018,32480,218901
309,cid,combined,2018,46473,
310,cid,combined,2018,31181,13245863
311,cid,combined,2018,58610,
312,cid,combined,2018,60356,
313,cid,combined,2018,58569,
314,cid,combined,2018,54709,
315,cid,combined,2018,35886,
316,cid,combined,2018,60387,
317,cid,combined,2018,62791,
318,cid,combined,2018,36158,
319,cid,combined,2018,35848,3223716
320,cid,combined,2018,63616,
321,cid,combined,2018,49339,
322,cid,combined,2018,58867,
323,cid,combined,2018,50673,
324,cid,combined,2018,31115,15772974
325,cid,combined,2018,31114,316348
326,cid,combined,2018,54092,
327,cid,combined,2018,50362,
328,cid,combined,2018,62864,
329,cid,combined,2018,14874,5037132
330,cid,combined,2018,60379,
331,cid,combined,2018,60213,
332,cid,combined,2018,54128,1371400.99
333,cid,combined,2018,50549,
334,cid,combined,2018,31179,34188.661
335,cid,combined,2018,60633,
336,cid,combined,2018,31164,21885641
337,cid,combined,2018,54625,
338,cid,combined,2018,31173,
339,cid,combined,2018,1184,8251485
340,cid,combined,2018,60292,
341,cid,combined,2018,54656,
342,cid,combined,2018,50154,
343,cid,combined,2018,50650,289561
344,cid,combined,2018,31111,21523714
345,cid,combined,2018,35868,
346,cid,combined,2018,60216,
347,cid,combined,2018,60546,
348,cid,combined,2018,60236,
349,cid,combined,2018,35755,
350,cid,combined,2018,59552,
351,cid,combined,2018,58528,
352,cid,combined,2018,826188,
353,cid,combined,2018,36283,
354,cid,combined,2018,54529,1043
355,cid,combined,2018,60393,
356,cid,combined,2018,53254,399548
357,cid,combined,2018,35860,
358,cid,combined,2018,46514,
359,cid,combined,2018,54652,
360,cid,combined,2018,50572,2878153
361,cid,combined,2018,54048,2653938.45
362,cid,combined,2018,64014,154415
363,cid,combined,2018,3429,1842097
364,cid,combined,2018,52164,
365,cid,combined,2018,57641,
366,cid,combined,2018,54688,
367,cid,combined,2018,59644,
368,cid,combined,2018,36477,
369,cid,combined,2018,44073,
370,cid,combined,2018,49342,
371,cid,combined,2018,54348,
372,cid,combined,2018,830907,
373,cid,combined,2018,60178,
374,cid,combined,2018,60279,
375,cid,combined,2018,35913,
376,cid,combined,2018,31175,3359242
377,cid,combined,2018,35904,
378,cid,combined,2018,58590,199041
379,cid,combined,2018,50384,1358385
380,cid,combined,2018,43911,5944000
381,cid,combined,2018,59545,172555
382,cid,combined,2018,43932,9118050
383,cid,combined,2018,50557,
384,cid,combined,2018,74594,
385,cid,combined,2018,43920,
386,cid,combined,2018,69973,
387,cid,combined,2018,71557,
388,cid,combined,2018,831616,
389,cid,combined,2018,36265,
390,cid,combined,2018,831425,
391,cid,combined,2018,35874,11094141
392,cid,combined,2018,59180,
393,cid,combined,2018,35993,
394,cid,combined,2018,59163,
395,cid,combined,2018,31112,69984178
396,cid,combined,2018,50389,
397,cid,combined,2018,14344,6309.564008
398,cid,combined,2018,50382,
399,cid,combined,2018,826236,
400,cid,combined,2018,58868,6140123
401,cid,combined,2018,49333,20804701
402,cid,combined,2018,36262,
403,cid,combined,2018,832078,
404,cid,combined,2018,35272,761145
405,cid,combined,2018,36037,
406,cid,combined,2018,55322,
407,cid,combined,2018,58595,
408,cid,combined,2018,73282,
409,cid,combined,2018,74680,
410,cid,combined,2018,31052,
411,cid,combined,2018,54631,
412,cid,combined,2018,55442,
413,cid,combined,2018,60381,
414,cid,combined,2018,43914,
415,cid,combined,2018,54666,
416,cid,combined,2018,74427,
417,cid,combined,2018,60621,
418,cid,combined,2018,59538,6298053.5
419,cid,combined,2018,35867,3900882
420,cid,combined,2018,60264,
421,cid,combined,2018,52897,
422,cid,combined,2018,60394,
423,cid,combined,2018,35862,
424,cid,combined,2018,826126,
425,cid,combined,2018,54289,
426,cid,combined,2018,60273,115719.73
427,cid,combined,2018,49327,2184796
428,cid,combined,2018,69849,
429,cid,combined,2018,74466,
430,cid,combined,2018,831152,
431,cid,combined,2018,60271,
432,cid,combined,2018,832009,
433,cid,combined,2018,830945,
434,cid,combined,2018,63999,311043.23
435,cid,combined,2018,54124,1097979
436,cid,combined,2018,73530,
437,cid,combined,2018,54390,
438,cid,combined,2018,74525,
439,cid,combined,2018,43928,
440,cid,combined,2018,54637,
441,cid,combined,2018,36494,
442,cid,combined,2018,50680,
443,cid,combined,2018,831433,
444,cid,combined,2018,60652,
445,cid,combined,2018,35887,
446,cid,combined,2018,73413,
447,cid,combined,2018,43905,
448,cid,combined,2018,36492,
449,cid,combined,2018,60410,
450,cid,combined,2018,59697,
451,cid,combined,2018,58485,
452,cid,combined,2018,42120,
453,cid,combined,2018,50568,
454,cid,combined,2018,35883,
455,cid,combined,2018,35884,
456,cid,combined,2018,54641,
457,cid,combined,2018,31184,
458,cid,combined,2018,54066,984857
459,cid,combined,2018,54681,
460,cid,combined,2018,55380,
461,cid,combined,2018,58531,467600
462,cid,combined,2018,36470,
463,cid,combined,2018,826427,
464,cid,combined,2018,1093,2998249
465,cid,combined,2018,54493,
466,cid,combined,2018,73302,
467,cid,combined,2018,31174,
468,cid,combined,2018,49330,8131805
469,cid,combined,2018,74508,
470,cid,combined,2018,54616,
471,cid,combined,2018,69968,
472,cid,combined,2018,60354,
473,cid,combined,2018,54668,
474,cid,combined,2018,31117,14709387
475,cid,combined,2018,59633,192380
476,cid,combined,2018,69999,
477,cid,combined,2018,51079,
478,cid,combined,2018,60284,
479,cid,combined,2018,831230,
480,cid,combined,2018,45219,
481,cid,combined,2018,31169,41128067
482,cid,combined,2018,59669,205886
483,cid,combined,2018,54111,502858
484,cid,combined,2018,59642,224746
485,cid,combined,2018,61753,
486,cid,combined,2018,54706,
487,cid,combined,2018,59563,
488,cid,combined,2018,62868,
489,cid,combined,2018,55324,
490,cid,combined,2018,54395,
491,cid,combined,2018,60392,96487.77
492,cid,combined,2018,68378,
493,cid,combined,2018,54057,
494,cid,combined,2018,54030,
495,cid,combined,2018,50574,
496,cid,combined,2018,31171,
497,cid,combined,2018,50368,
498,cid,combined,2018,35475,10834502
499,cid,combined,2018,59588,
500,cid,combined,2018,35893,
501,cid,combined,2018,31165,563517
502,cid,combined,2018,73247,
503,cid,combined,2018,59595,
504,cid,combined,2018,54672,
505,cid,combined,2018,60214,
506,cid,combined,2018,58636,
507,cid,combined,2018,73879,422955
508,cid,combined,2018,54662,
509,cid,combined,2018,43926,
510,cid,combined,2018,54647,
511,cid,combined,2018,43930,1010243
512,cid,combined,2018,54633,
513,cid,combined,2018,60267,
514,cid,combined,2018,60114,
515,cid,combined,2018,54070,912080
516,cid,combined,2018,50555,214556952
517,cid,combined,2018,54085,
518,cid,combined,2018,60207,
519,cid,combined,2018,31166,19503.35
520,cid,combined,2018,57505,
521,cid,combined,2018,50398,
522,cid,combined,2018,31146,
523,cid,combined,2018,19233,
524,cid,combined,2018,60290,
525,cid,combined,2018,57616,
526,cid,combined,2018,35268,3890790
527,cid,combined,2018,59678,
528,cid,combined,2018,10894,
529,cid,combined,2018,58621,112096.953
530,cid,combined,2018,54654,
531,cid,combined,2018,59165,249706
532,cid,combined,2018,58609,
533,cid,combined,2018,54478,
534,cid,combined,2018,826103,
535,cid,combined,2018,60656,31807
536,cid,combined,2018,31168,
537,cid,combined,2018,35898,9587290
538,cid,combined,2018,31151,783932
539,cid,combined,2018,54703,
540,cid,combined,2018,61876,
541,cid,combined,2018,31150,27292982
542,cid,combined,2018,59160,
543,cid,combined,2018,60218,
544,cid,combined,2018,831620,
545,cid,combined,2018,60116,
546,cid,combined,2018,58395,219503
547,cid,combined,2018,54389,19233095.5
548,cid,combined,2018,74418,
549,cid,combined,2018,50672,
550,cid,combined,2018,54457,
551,cid,combined,2018,60328,
552,cid,combined,2018,35853,
553,cid,combined,2018,43912,10031542
554,cid,combined,2018,56276,7653808
555,cid,combined,2018,55373,
556,cid,combined,2018,63543,
557,cid,combined,2018,832838,
558,cid,combined,2018,60140,
559,cid,combined,2018,55415,
560,cid,combined,2018,54575,
561,cid,combined,2018,55319,
562,cid,combined,2018,73252,
563,cid,combined,2018,54290,
564,cid,combined,2018,58530,
565,cid,combined,2018,826397,
566,cid,combined,2018,50388,
567,cid,combined,2018,60602,
568,cid,combined,2018,3422,20949542.7
569,cid,combined,2018,54513,
570,cid,combined,2018,60104,
571,cid,combined,2018,32550,3519846
572,cid,combined,2018,43937,621179
573,cid,combined,2018,8242,2184276
574,cid,combined,2018,49344,
575,cid,combined,2018,59298,
576,cid,combined,2018,69823,
577,cid,combined,2018,50794,
578,cid,combined,2018,36285,
579,cid,combined,2018,60577,
580,cid,combined,2018,35894,11179649
581,cid,combined,2018,74428,
582,cid,combined,2018,55328,
583,cid,combined,2018,59653,175766.69
584,cid,combined,2018,31155,16338506
585,cid,combined,2018,36254,8735271
586,cid,combined,2018,831150,
587,cid,combined,2018,54588,
588,cid,combined,2018,31187,22581000
589,cid,combined,2018,57347,2530643.7
590,cid,combined,2018,54116,
591,cid,combined,2018,831231,
592,cid,combined,2018,35897,
593,cid,combined,2018,54650,
594,cid,combined,2018,59540,
595,cid,combined,2018,62180,
596,cid,combined,2018,36039,911135
597,cid,combined,2018,50792,
598,cid,combined,2018,35878,
599,cid,combined,2018,69995,
600,cid,combined,2018,58871,
601,cid,combined,2018,826238,
602,cid,combined,2018,37038,
603,cid,combined,2018,826239,
604,cid,combined,2018,74569,
605,cid,combined,2018,74401,
606,cid,combined,2018,60347,
607,cid,combined,2018,826207,
608,cid,combined,2018,31149,1330352
609,cid,combined,2018,60419,981954
610,cid,combined,2018,59158,33277
611,cid,combined,2018,35873,2193277
612,cid,combined,2018,826100,
613,cid,combined,2018,51075,
614,cid,combined,2018,54700,
615,cid,combined,2018,63601,
616,cid,combined,2018,36522,
617,cid,combined,2018,36159,
618,cid,combined,2018,73240,
619,cid,combined,2018,60374,
620,cid,combined,2018,68371,
621,cid,combined,2018,54075,856008
622,cid,combined,2018,49359,
623,cid,combined,2018,54671,
624,cid,combined,2018,35902,
625,cid,combined,2018,49343,
626,cid,combined,2018,60433,118724
627,cid,combined,2018,35915,
628,cid,combined,2018,58627,
629,cid,combined,2018,60258,
630,cid,combined,2018,63941,9303281.66
631,cid,combined,2018,60361,
632,cid,combined,2018,1499,2955953
633,cid,combined,2018,50381,
634,cid,combined,2018,70017,
635,cid,combined,2018,58413,
636,cid,combined,2018,74631,
637,cid,combined,2018,60898,
638,cid,combined,2018,60638,
639,cid,combined,2018,35995,
640,cid,combined,2018,826114,
641,cid,combined,2019,840309,
642,cid,combined,2019,54609,
643,cid,combined,2019,840914,
644,cid,combined,2019,841416,
645,cid,combined,2019,840030,224432.8
646,cid,combined,2019,54649,
647,cid,combined,2019,54632,
648,cid,combined,2019,2028,
649,cid,combined,2019,840926,
650,cid,combined,2019,36504,
651,cid,combined,2019,73678,34460.39
652,cid,combined,2019,3203,
653,cid,combined,2019,54104,751388.46
654,cid,combined,2019,50356,
655,cid,combined,2019,841153,
656,cid,combined,2019,59631,
657,cid,combined,2019,31184,
658,cid,combined,2019,36286,
659,cid,combined,2019,60236,
660,cid,combined,2019,36495,
661,cid,combined,2019,54579,
662,cid,combined,2019,73763,
663,cid,combined,2019,60906,561.54
664,cid,combined,2019,58865,
665,cid,combined,2019,69995,
666,cid,combined,2019,73301,
667,cid,combined,2019,60268,
668,cid,combined,2019,58871,
669,cid,combined,2019,31113,
670,cid,combined,2019,59595,
671,cid,combined,2019,74428,
672,cid,combined,2019,840930,
673,cid,combined,2019,74531,
674,cid,combined,2019,35848,
675,cid,combined,2019,54700,
676,cid,combined,2019,74309,176321.3
677,cid,combined,2019,49367,
678,cid,combined,2019,54270,
679,cid,combined,2019,60361,
680,cid,combined,2019,36492,990097
681,cid,combined,2019,35859,8593604
682,cid,combined,2019,54430,1894045
683,cid,combined,2019,839669,
684,cid,combined,2019,834258,49688.98
685,cid,combined,2019,840515,
686,cid,combined,2019,55325,
687,cid,combined,2019,831616,
688,cid,combined,2019,73736,54525.63
689,cid,combined,2019,60384,
690,cid,combined,2019,73732,42140.43
691,cid,combined,2019,58395,
692,cid,combined,2019,36037,4174608
693,cid,combined,2019,54111,
694,cid,combined,2019,50354,
695,cid,combined,2019,50794,
696,cid,combined,2019,63562,3723299.07
697,cid,combined,2019,64014,154412.6
698,cid,combined,2019,49342,
699,cid,combined,2019,35897,
700,cid,combined,2019,54109,
701,cid,combined,2019,42178,
702,cid,combined,2019,73789,0
703,cid,combined,2019,59588,
704,cid,combined,2019,63919,
